Agency Department,State,Talent Size,Estimated Layoff
Government Printing Office,Mississippi,1300,50
"International Boundary and Water Commission, U.S. Section",Texas,2330,50
Nuclear Regulatory Commission,Georgia,1590,50
Nuclear Regulatory Commission,Texas,1550,50
Office of Inspector General,California,1270,50
Securities and Exchange Commission,Florida,1210,50
Securities and Exchange Commission,Georgia,1190,50
Small Business Administration,Illinois,1250,50
Small Business Administration,Louisiana,1240,50
Small Business Administration,Pennsylvania,1190,50
Smithsonian Institution,New York,1460,50
Social Security Administration,Delaware,1070,50
Social Security Administration,Nebraska,1460,50
National Labor Relations Board,New York,893,41
Commodity Futures Trading Commission,New York,880,40
Department of Commerce,Maine,1310,40
Department of Commerce,Rhode Island,1536,40
Department of Commerce,South Dakota,1140,40
Department of Defense,Wisconsin,1170,40
Department of Education,Ohio,890,40
Department of Energy,Georgia,1390,40
Department of Energy,Montana,1590,40
Department of Energy,New York,1710,40
Department of Health and Human Services,Alabama,2350,40
Department of Homeland Security,Indiana,1980,40
Department of Homeland Security,Kentucky,1660,40
Department of Housing and Urban Development,Minnesota,1540,40
Department of Housing and Urban Development,Tennessee,1030,40
Department of Justice,Tennessee,2380,40
Department of Labor,Alabama,1380,40
Department of Labor,Michigan,1150,40
Department of Labor,Utah,1310,40
Department of Labor,Wisconsin,1080,40
Department of the Air Force,New Hampshire,2810,40
Department of the Army,Wyoming,2340,40
Department of the Interior,Alabama,2430,40
Department of the Navy,Alabama,1920,40
Department of the Treasury,South Carolina,1660,40
Equal Employment Opportunity Commission,Florida,1100,40
Equal Employment Opportunity Commission,Georgia,960,40
Federal Deposit Insurance Corporation,Florida,860,40
Federal Deposit Insurance Corporation,Iowa,980,40
Federal Deposit Insurance Corporation,Pennsylvania,1030,40
Federal Deposit Insurance Corporation,Tennessee,1010,40
Federal Deposit Insurance Corporation,Utah,890,40
Federal Deposit Insurance Corporation,Wisconsin,950,40
Federal Housing Finance Agency,Pennsylvania,990,40
General Services Administration,Kansas,1870,40
General Services Administration,Michigan,1530,40
National Archives and Records Administration,Texas,1290,40
National Credit Union Administration,Texas,1060,40
Nuclear Regulatory Commission,Pennsylvania,1350,40
Office of Inspector General,Pennsylvania,960,40
Presidio Trust,California,3040,40
Small Business Administration,North Carolina,1270,40
Social Security Administration,Montana,1100,40
Department of Agriculture,Connecticut,1540,30
Department of Commerce,Delaware,860,30
Department of Commerce,New Hampshire,1150,30
Department of Commerce,North Dakota,840,30
Department of Commerce,Vermont,770,30
Department of Commerce,Wyoming,790,30
Department of Defense,Minnesota,1360,30
Department of Education,Massachusetts,1410,30
Department of Energy,Missouri,1410,30
Department of Energy,North Dakota,790,30
Department of Health and Human Services,Kentucky,1370,30
Department of Health and Human Services,Louisiana,2250,30
Department of Health and Human Services,Wisconsin,1820,30
Department of Homeland Security,Oregon,2060,30
Department of Housing and Urban Development,North Carolina,1450,30
Department of Justice,Oregon,1970,30
Department of Justice,Washington,1990,30
Department of Labor,Kansas,1290,30
Department of Labor,Minnesota,950,30
Department of Labor,North Carolina,1390,30
Department of Labor,Tennessee,1110,30
Department of State,Illinois,840,30
Department of State,Pennsylvania,910,30
Department of Transportation,Rhode Island,950,30
Department of Transportation,South Dakota,900,30
Department of the Air Force,Kentucky,2000,30
Department of the Air Force,Rhode Island,1580,30
Department of the Air Force,Vermont,1670,30
Department of the Interior,New Hampshire,1100,30
Department of the Navy,New Mexico,1460,30
Department of the Navy,Wisconsin,1460,30
Department of the Treasury,Nebraska,950,30
Environmental Protection Agency,Oregon,1230,30
Equal Employment Opportunity Commission,Alabama,630,30
Equal Employment Opportunity Commission,Illinois,820,30
Equal Employment Opportunity Commission,New York,760,30
Equal Employment Opportunity Commission,North Carolina,800,30
Equal Employment Opportunity Commission,Pennsylvania,830,30
Equal Employment Opportunity Commission,Tennessee,630,30
Federal Deposit Insurance Corporation,Kentucky,730,30
Federal Deposit Insurance Corporation,Maryland,770,30
Federal Deposit Insurance Corporation,Minnesota,700,30
Federal Deposit Insurance Corporation,Nebraska,520,30
Federal Deposit Insurance Corporation,New Jersey,720,30
Federal Housing Finance Agency,Illinois,770,30
Federal Housing Finance Agency,Maryland,890,30
Federal Housing Finance Agency,Missouri,880,30
Federal Housing Finance Agency,Virginia,880,30
General Services Administration,Alabama,1210,30
National Aeronautics and Space Administration,New Mexico,980,30
National Archives and Records Administration,California,1060,30
National Archives and Records Administration,Ohio,700,30
National Credit Union Administration,California,710,30
National Credit Union Administration,New York,600,30
National Credit Union Administration,Pennsylvania,540,30
Nuclear Regulatory Commission,Illinois,1350,30
Office of Inspector General,Illinois,750,30
Office of Inspector General,Maryland,840,30
Office of Inspector General,Missouri,870,30
Office of Personnel Management,California,500,30
Office of Personnel Management,Texas,870,30
Peace Corps,Maryland,860,30
Pension Benefit Guaranty Corporation,Maryland,1070,30
Small Business Administration,Arizona,780,30
Small Business Administration,Mississippi,610,30
Small Business Administration,New Jersey,940,30
Small Business Administration,Ohio,950,30
Small Business Administration,Oklahoma,550,30
Small Business Administration,South Carolina,750,30
Small Business Administration,Tennessee,640,30
Social Security Administration,South Dakota,780,30
National Labor Relations Board,Illinois,486,21
National Labor Relations Board,Michigan,351,21
National Labor Relations Board,Ohio,461,21
National Labor Relations Board,Pennsylvania,521,21
Corporation for National and Community Service,California,550,20
Corporation for National and Community Service,Colorado,370,20
Department of Commerce,Connecticut,850,20
Department of Defense,Iowa,810,20
Department of Education,Arkansas,390,20
Department of Education,Mississippi,420,20
Department of Education,New Jersey,800,20
Department of Education,Washington,850,20
Department of Energy,Arkansas,610,20
Department of Energy,Kentucky,780,20
Department of Energy,Louisiana,920,20
Department of Health and Human Services,Utah,1920,20
Department of Homeland Security,Arkansas,910,20
Department of Homeland Security,Idaho,840,20
Department of Homeland Security,Oklahoma,1240,20
Department of Homeland Security,Wisconsin,1360,20
Department of Housing and Urban Development,Alabama,790,20
Department of Housing and Urban Development,Arizona,1260,20
Department of Housing and Urban Development,Arkansas,780,20
Department of Housing and Urban Development,Indiana,1060,20
Department of Housing and Urban Development,Kentucky,760,20
Department of Housing and Urban Development,Mississippi,790,20
Department of Housing and Urban Development,Oregon,780,20
Department of Justice,Connecticut,1480,20
Department of Justice,New Hampshire,1560,20
Department of Justice,Wisconsin,1710,20
Department of Labor,Arizona,1100,20
Department of Labor,Idaho,630,20
Department of Labor,Mississippi,670,20
Department of Labor,Nevada,620,20
Department of Labor,New Mexico,620,20
Department of Labor,Oregon,940,20
Department of State,Georgia,600,20
Department of State,Massachusetts,620,20
Department of State,Michigan,470,20
Department of Transportation,Vermont,700,20
Department of Transportation,Wyoming,750,20
Department of the Air Force,Connecticut,1650,20
Department of the Air Force,Maine,1910,20
Department of the Navy,Colorado,1840,20
Department of the Navy,Massachusetts,1700,20
Department of the Navy,Nevada,3060,20
Department of the Navy,Ohio,1800,20
Department of the Treasury,Arkansas,950,20
Department of the Treasury,South Dakota,620,20
Environmental Protection Agency,Florida,1280,20
Environmental Protection Agency,Idaho,370,20
Equal Employment Opportunity Commission,Colorado,380,20
Equal Employment Opportunity Commission,Maryland,460,20
Farm Credit Administration,Colorado,480,20
Farm Credit Administration,Minnesota,410,20
Farm Credit Administration,Texas,380,20
Federal Communications Commission,Pennsylvania,570,20
Federal Deposit Insurance Corporation,Alabama,570,20
Federal Deposit Insurance Corporation,Colorado,450,20
Federal Deposit Insurance Corporation,Connecticut,430,20
Federal Deposit Insurance Corporation,Indiana,500,20
Federal Deposit Insurance Corporation,Kansas,460,20
Federal Deposit Insurance Corporation,Louisiana,550,20
Federal Deposit Insurance Corporation,Michigan,390,20
Federal Deposit Insurance Corporation,Mississippi,500,20
Federal Deposit Insurance Corporation,New Hampshire,400,20
Federal Deposit Insurance Corporation,North Dakota,460,20
Federal Deposit Insurance Corporation,Ohio,510,20
Federal Deposit Insurance Corporation,Oklahoma,480,20
Federal Deposit Insurance Corporation,Oregon,420,20
Federal Deposit Insurance Corporation,South Dakota,380,20
Federal Deposit Insurance Corporation,Washington,530,20
Federal Housing Finance Agency,Florida,690,20
Federal Housing Finance Agency,Georgia,810,20
Federal Housing Finance Agency,Massachusetts,690,20
Federal Housing Finance Agency,Texas,1010,20
Federal Reserve System,Illinois,580,20
Federal Trade Commission,California,540,20
Federal Trade Commission,New York,450,20
General Services Administration,Indiana,980,20
General Services Administration,Tennessee,1070,20
National Aeronautics and Space Administration,Louisiana,620,20
National Archives and Records Administration,Kansas,740,20
National Archives and Records Administration,Massachusetts,510,20
National Credit Union Administration,Michigan,300,20
Office of Inspector General,Florida,650,20
Office of Inspector General,Georgia,740,20
Office of Inspector General,Massachusetts,670,20
Office of Inspector General,Texas,910,20
Peace Corps,Virginia,690,20
Small Business Administration,Arkansas,560,20
Small Business Administration,Massachusetts,420,20
Small Business Administration,Michigan,700,20
Small Business Administration,Missouri,660,20
Small Business Administration,Nevada,350,20
Small Business Administration,Washington,600,20
Smithsonian Institution,Massachusetts,540,20
Social Security Administration,North Dakota,770,20
Social Security Administration,Vermont,540,20
Social Security Administration,Wyoming,350,20
Trade and Development Agency,Virginia,620,20
U.S. Agency for Global Media,Maryland,720,20
Commodity Futures Trading Commission,Missouri,240,10
Corporation for National and Community Service,Georgia,320,10
Corporation for National and Community Service,Iowa,230,10
Corporation for National and Community Service,Maryland,450,10
Corporation for National and Community Service,Mississippi,210,10
Corporation for National and Community Service,Missouri,160,10
Corporation for National and Community Service,New Hampshire,180,10
Corporation for National and Community Service,New York,160,10
Corporation for National and Community Service,Ohio,150,10
Corporation for National and Community Service,Pennsylvania,240,10
Corporation for National and Community Service,Texas,220,10
Corporation for National and Community Service,Virginia,270,10
Department of Agriculture,Rhode Island,1090,10
Department of Defense,Delaware,1730,10
Department of Defense,Idaho,900,10
Department of Defense,Nebraska,2210,10
Department of Defense,North Dakota,1180,10
Department of Defense,South Dakota,940,10
Department of Defense,Vermont,290,10
Department of Defense,West Virginia,530,10
Department of Education,Alabama,340,10
Department of Education,Arizona,410,10
Department of Education,Idaho,210,10
Department of Education,Indiana,400,10
Department of Education,Iowa,420,10
Department of Education,Kentucky,250,10
Department of Education,Michigan,420,10
Department of Education,Minnesota,490,10
Department of Education,Montana,270,10
Department of Education,Nebraska,280,10
Department of Education,New Mexico,410,10
Department of Education,North Carolina,740,10
Department of Education,North Dakota,150,10
Department of Education,Oklahoma,350,10
Department of Education,Oregon,290,10
Department of Education,South Carolina,440,10
Department of Education,Tennessee,360,10
Department of Education,Utah,230,10
Department of Education,Wisconsin,500,10
Department of Energy,Florida,1070,10
Department of Energy,Massachusetts,440,10
Department of Energy,Oklahoma,1020,10
Department of Energy,Wyoming,510,10
Department of Health and Human Services,Alaska,1130,10
Department of Health and Human Services,Hawaii,920,10
Department of Health and Human Services,Indiana,1440,10
Department of Health and Human Services,Nevada,1520,10
Department of Health and Human Services,New Hampshire,900,10
Department of Health and Human Services,Rhode Island,870,10
Department of Homeland Security,Delaware,570,10
Department of Homeland Security,Iowa,820,10
Department of Homeland Security,Maine,1310,10
Department of Homeland Security,Montana,710,10
Department of Homeland Security,New Hampshire,930,10
Department of Homeland Security,Rhode Island,1130,10
Department of Homeland Security,South Dakota,520,10
Department of Homeland Security,Utah,950,10
Department of Housing and Urban Development,Alaska,450,10
Department of Housing and Urban Development,Idaho,260,10
Department of Housing and Urban Development,Iowa,510,10
Department of Housing and Urban Development,Montana,270,10
Department of Housing and Urban Development,Nebraska,570,10
Department of Housing and Urban Development,New Mexico,680,10
Department of Housing and Urban Development,North Dakota,210,10
Department of Housing and Urban Development,South Carolina,840,10
Department of Housing and Urban Development,Utah,310,10
Department of Housing and Urban Development,Wisconsin,820,10
Department of Justice,Delaware,400,10
Department of Justice,South Dakota,760,10
Department of Labor,Alaska,300,10
Department of Labor,Arkansas,480,10
Department of Labor,Connecticut,500,10
Department of Labor,New Hampshire,570,10
Department of Labor,Oklahoma,770,10
Department of Labor,Rhode Island,290,10
Department of Labor,South Carolina,590,10
Department of Labor,Wyoming,240,10
Department of State,Colorado,640,10
Department of State,Connecticut,380,10
Department of State,Hawaii,230,10
Department of State,Minnesota,380,10
Department of State,Vermont,320,10
Department of Transportation,Delaware,620,10
Department of the Interior,Connecticut,510,10
Department of the Interior,Iowa,1360,10
Department of the Navy,Idaho,790,10
Department of the Navy,New York,1520,10
Department of the Navy,Utah,790,10
Department of the Treasury,Alaska,330,10
Department of the Treasury,Delaware,690,10
Department of the Treasury,Hawaii,600,10
Department of the Treasury,Idaho,560,10
Department of the Treasury,Maine,410,10
Department of the Treasury,Montana,370,10
Department of the Treasury,New Mexico,620,10
Department of the Treasury,North Dakota,310,10
Department of the Treasury,Rhode Island,570,10
Department of the Treasury,Wyoming,230,10
Development Finance Corporation,Maryland,360,10
Development Finance Corporation,New York,230,10
Environmental Protection Agency,Alabama,480,10
Environmental Protection Agency,Alaska,360,10
Environmental Protection Agency,Minnesota,870,10
Environmental Protection Agency,Missouri,430,10
Environmental Protection Agency,Montana,360,10
Environmental Protection Agency,Oklahoma,510,10
Environmental Protection Agency,Rhode Island,670,10
Environmental Protection Agency,West Virginia,320,10
Equal Employment Opportunity Commission,Arizona,460,10
Equal Employment Opportunity Commission,Arkansas,200,10
Equal Employment Opportunity Commission,Indiana,450,10
Equal Employment Opportunity Commission,Kansas,260,10
Equal Employment Opportunity Commission,Louisiana,270,10
Equal Employment Opportunity Commission,Michigan,390,10
Equal Employment Opportunity Commission,Mississippi,190,10
Equal Employment Opportunity Commission,Missouri,370,10
Equal Employment Opportunity Commission,Nevada,160,10
Equal Employment Opportunity Commission,Ohio,340,10
Equal Employment Opportunity Commission,Virginia,340,10
Equal Employment Opportunity Commission,Washington,340,10
Farm Credit Administration,California,180,10
Federal Communications Commission,Maryland,390,10
Federal Deposit Insurance Corporation,Arizona,360,10
Federal Deposit Insurance Corporation,Arkansas,320,10
Federal Deposit Insurance Corporation,Delaware,250,10
Federal Deposit Insurance Corporation,Montana,280,10
Federal Deposit Insurance Corporation,New Mexico,140,10
Federal Deposit Insurance Corporation,South Carolina,270,10
Federal Deposit Insurance Corporation,West Virginia,270,10
Federal Housing Finance Agency,Arkansas,120,10
Federal Housing Finance Agency,Colorado,330,10
Federal Housing Finance Agency,New Jersey,280,10
Federal Housing Finance Agency,Ohio,220,10
Federal Mediation and Conciliation Service,Illinois,130,10
Federal Reserve System,Florida,270,10
Federal Reserve System,Georgia,360,10
Federal Reserve System,Maryland,150,10
Federal Reserve System,New Jersey,210,10
Federal Reserve System,North Carolina,220,10
Federal Reserve System,Pennsylvania,280,10
Federal Reserve System,Texas,410,10
Federal Reserve System,Washington,210,10
Federal Trade Commission,Georgia,160,10
Federal Trade Commission,Illinois,250,10
Federal Trade Commission,Ohio,190,10
Federal Trade Commission,Texas,230,10
Federal Trade Commission,Virginia,280,10
Federal Trade Commission,Washington,280,10
General Services Administration,Alaska,420,10
General Services Administration,Arkansas,580,10
General Services Administration,New Hampshire,640,10
General Services Administration,Oregon,830,10
General Services Administration,West Virginia,760,10
General Services Administration,Wisconsin,780,10
Merit Systems Protection Board,Georgia,160,10
Morris K. Udall and Stewart L. Udall Foundation,Arizona,270,10
National Aeronautics and Space Administration,New York,480,10
National Aeronautics and Space Administration,West Virginia,520,10
National Archives and Records Administration,Arkansas,300,10
National Archives and Records Administration,Georgia,690,10
National Archives and Records Administration,Pennsylvania,320,10
National Archives and Records Administration,Washington,220,10
National Credit Union Administration,Alabama,110,10
National Credit Union Administration,Arizona,370,10
National Credit Union Administration,Colorado,230,10
National Credit Union Administration,Connecticut,120,10
National Credit Union Administration,Florida,360,10
National Credit Union Administration,Georgia,330,10
National Credit Union Administration,Illinois,260,10
National Credit Union Administration,Indiana,160,10
National Credit Union Administration,Louisiana,180,10
National Credit Union Administration,Maine,110,10
National Credit Union Administration,Massachusetts,210,10
National Credit Union Administration,Minnesota,140,10
National Credit Union Administration,New Jersey,270,10
National Credit Union Administration,North Carolina,240,10
National Credit Union Administration,Ohio,260,10
National Credit Union Administration,Oregon,130,10
National Credit Union Administration,Tennessee,200,10
National Credit Union Administration,Utah,170,10
National Credit Union Administration,Washington,250,10
National Foundation on the Arts and the Humanities,Maryland,450,10
National Labor Relations Board,Arizona,286,10
National Labor Relations Board,Florida,294,10
National Labor Relations Board,Georgia,213,10
National Labor Relations Board,Texas,390,10
National Labor Relations Board,Washington,356,10
National Science Foundation,Maryland,620,10
Nuclear Regulatory Commission,Tennessee,420,10
Office of Inspector General,Arkansas,120,10
Office of Inspector General,Colorado,330,10
Office of Inspector General,New Jersey,250,10
Office of Inspector General,Ohio,220,10
Office of Inspector General,Virginia,430,10
Office of Management and Budget,California,250,10
Office of Management and Budget,Illinois,150,10
Office of Management and Budget,New York,140,10
Office of Management and Budget,Texas,160,10
Office of Personnel Management,Colorado,500,10
Office of Personnel Management,Florida,680,10
Office of Personnel Management,Kansas,280,10
Office of Personnel Management,Missouri,430,10
Office of Personnel Management,New York,300,10
Peace Corps,California,240,10
Peace Corps,Illinois,130,10
Peace Corps,Texas,220,10
Pension Benefit Guaranty Corporation,Virginia,740,10
Railroad Retirement Board,California,250,10
Railroad Retirement Board,Florida,200,10
Railroad Retirement Board,New York,120,10
Railroad Retirement Board,Pennsylvania,160,10
Railroad Retirement Board,Texas,220,10
Selective Service System,Illinois,520,10
Selective Service System,Virginia,410,10
Small Business Administration,Hawaii,240,10
Small Business Administration,Indiana,300,10
Small Business Administration,Kentucky,290,10
Social Security Administration,Alaska,390,10
U.S. Agency for Global Media,Florida,520,10
Administrative Conference of the United States,Virginia,10,0
Advisory Council on Historic Preservation,California,10,0
Advisory Council on Historic Preservation,Colorado,10,0
Advisory Council on Historic Preservation,Florida,20,0
Advisory Council on Historic Preservation,Georgia,10,0
Advisory Council on Historic Preservation,Hawaii,10,0
Advisory Council on Historic Preservation,Kentucky,10,0
Advisory Council on Historic Preservation,Maryland,20,0
Advisory Council on Historic Preservation,Minnesota,10,0
Advisory Council on Historic Preservation,New York,10,0
American Battle Monuments Commission,Arizona,10,0
American Battle Monuments Commission,California,10,0
American Battle Monuments Commission,Colorado,0,0
American Battle Monuments Commission,Florida,10,0
American Battle Monuments Commission,Iowa,10,0
American Battle Monuments Commission,Maine,10,0
American Battle Monuments Commission,Missouri,10,0
American Battle Monuments Commission,New York,0,0
American Battle Monuments Commission,Ohio,20,0
American Battle Monuments Commission,Texas,10,0
American Battle Monuments Commission,Virginia,300,0
Appalachian Regional Commission,West Virginia,10,0
Arctic Research Commission,Alaska,10,0
Arctic Research Commission,Virginia,10,0
Barry Goldwater Scholarship and Excellence in Education Foundation,Kentucky,10,0
Barry Goldwater Scholarship and Excellence in Education Foundation,Virginia,10,0
Chemical Safety and Hazard Investigation Board,Alabama,10,0
Chemical Safety and Hazard Investigation Board,Arizona,10,0
Chemical Safety and Hazard Investigation Board,California,30,0
Chemical Safety and Hazard Investigation Board,Colorado,40,0
Chemical Safety and Hazard Investigation Board,Michigan,20,0
Chemical Safety and Hazard Investigation Board,New Hampshire,10,0
Chemical Safety and Hazard Investigation Board,South Carolina,10,0
Civil Rights Cold Case Review Board (CRCCRB),California,10,0
Civil Rights Cold Case Review Board (CRCCRB),Georgia,30,0
Civil Rights Cold Case Review Board (CRCCRB),Massachusetts,10,0
Commission on Civil Rights,California,30,0
Commission on Civil Rights,Colorado,10,0
Commission on Civil Rights,Hawaii,10,0
Commission on Civil Rights,Illinois,40,0
Commission on Civil Rights,Michigan,10,0
Commission on Civil Rights,Missouri,10,0
Commission on Civil Rights,New Jersey,10,0
Commission on Civil Rights,New York,10,0
Commission on Civil Rights,Ohio,10,0
Commission on Civil Rights,South Carolina,10,0
Commission on Civil Rights,Texas,20,0
Commission on Civil Rights,Virginia,10,0
Commission on Civil Rights,Washington,0,0
Consumer Product Safety Commission,Alabama,10,0
Consumer Product Safety Commission,California,10,0
Consumer Product Safety Commission,Florida,10,0
Consumer Product Safety Commission,Georgia,10,0
Consumer Product Safety Commission,Illinois,0,0
Consumer Product Safety Commission,New Hampshire,10,0
Consumer Product Safety Commission,New York,10,0
Consumer Product Safety Commission,Washington,10,0
Corporation for National and Community Service,Alabama,30,0
Corporation for National and Community Service,Alaska,30,0
Corporation for National and Community Service,Arizona,80,0
Corporation for National and Community Service,Arkansas,30,0
Corporation for National and Community Service,Connecticut,20,0
Corporation for National and Community Service,Delaware,70,0
Corporation for National and Community Service,Florida,80,0
Corporation for National and Community Service,Hawaii,20,0
Corporation for National and Community Service,Idaho,10,0
Corporation for National and Community Service,Illinois,90,0
Corporation for National and Community Service,Indiana,30,0
Corporation for National and Community Service,Kansas,40,0
Corporation for National and Community Service,Kentucky,10,0
Corporation for National and Community Service,Louisiana,30,0
Corporation for National and Community Service,Maine,10,0
Corporation for National and Community Service,Massachusetts,60,0
Corporation for National and Community Service,Michigan,60,0
Corporation for National and Community Service,Minnesota,60,0
Corporation for National and Community Service,Montana,30,0
Corporation for National and Community Service,Nebraska,20,0
Corporation for National and Community Service,Nevada,30,0
Corporation for National and Community Service,New Jersey,120,0
Corporation for National and Community Service,New Mexico,30,0
Corporation for National and Community Service,North Carolina,130,0
Corporation for National and Community Service,North Dakota,20,0
Corporation for National and Community Service,Oklahoma,40,0
Corporation for National and Community Service,Oregon,20,0
Corporation for National and Community Service,Rhode Island,0,0
Corporation for National and Community Service,South Carolina,80,0
Corporation for National and Community Service,South Dakota,10,0
Corporation for National and Community Service,Tennessee,60,0
Corporation for National and Community Service,Utah,10,0
Corporation for National and Community Service,Vermont,10,0
Corporation for National and Community Service,Washington,50,0
Corporation for National and Community Service,West Virginia,70,0
Corporation for National and Community Service,Wisconsin,40,0
Corporation for National and Community Service,Wyoming,10,0
Council of the Inspectors General on Integrity and Efficiency,California,0,0
Council of the Inspectors General on Integrity and Efficiency,Colorado,10,0
Council of the Inspectors General on Integrity and Efficiency,Georgia,0,0
Council of the Inspectors General on Integrity and Efficiency,Illinois,10,0
Council of the Inspectors General on Integrity and Efficiency,Maryland,30,0
Council of the Inspectors General on Integrity and Efficiency,Nevada,10,0
Council of the Inspectors General on Integrity and Efficiency,New Jersey,10,0
Council of the Inspectors General on Integrity and Efficiency,New Mexico,20,0
Council of the Inspectors General on Integrity and Efficiency,New York,20,0
Council of the Inspectors General on Integrity and Efficiency,Pennsylvania,20,0
Council of the Inspectors General on Integrity and Efficiency,Texas,30,0
Council of the Inspectors General on Integrity and Efficiency,Virginia,60,0
Council of the Inspectors General on Integrity and Efficiency,Washington,0,0
Council on Environmental Quality/Office of Environmental Quality,Arizona,0,0
Council on Environmental Quality/Office of Environmental Quality,California,20,0
Council on Environmental Quality/Office of Environmental Quality,Colorado,10,0
Council on Environmental Quality/Office of Environmental Quality,Florida,0,0
Council on Environmental Quality/Office of Environmental Quality,Kentucky,10,0
Council on Environmental Quality/Office of Environmental Quality,Massachusetts,10,0
Council on Environmental Quality/Office of Environmental Quality,Minnesota,10,0
Council on Environmental Quality/Office of Environmental Quality,Oregon,20,0
Council on Environmental Quality/Office of Environmental Quality,Pennsylvania,0,0
Council on Environmental Quality/Office of Environmental Quality,Washington,10,0
Court Services and Offender Supervision Agency for the District of Columbia,Florida,10,0
Court Services and Offender Supervision Agency for the District of Columbia,Rhode Island,0,0
Court Services and Offender Supervision Agency for the District of Columbia,Virginia,10,0
Defense Nuclear Facilities Safety Board,Florida,10,0
Defense Nuclear Facilities Safety Board,Georgia,10,0
Defense Nuclear Facilities Safety Board,Illinois,10,0
Defense Nuclear Facilities Safety Board,Maryland,60,0
Defense Nuclear Facilities Safety Board,New Hampshire,10,0
Defense Nuclear Facilities Safety Board,New Jersey,0,0
Defense Nuclear Facilities Safety Board,New Mexico,30,0
Defense Nuclear Facilities Safety Board,Pennsylvania,20,0
Defense Nuclear Facilities Safety Board,South Carolina,40,0
Defense Nuclear Facilities Safety Board,Tennessee,30,0
Defense Nuclear Facilities Safety Board,Texas,20,0
Defense Nuclear Facilities Safety Board,Virginia,10,0
Defense Nuclear Facilities Safety Board,Washington,30,0
Defense Nuclear Facilities Safety Board,West Virginia,10,0
Delta Regional Authority,Louisiana,10,0
Delta Regional Authority,Mississippi,10,0
Denali Commission,Alaska,150,0
Denali Commission,Virginia,10,0
Department of Defense,Montana,710,0
Department of Defense,Oregon,350,0
Department of Defense,Wyoming,790,0
Department of Education,Alaska,140,0
Department of Education,Connecticut,90,0
Department of Education,Delaware,220,0
Department of Education,Hawaii,70,0
Department of Education,Maine,100,0
Department of Education,Nevada,180,0
Department of Education,New Hampshire,110,0
Department of Education,Rhode Island,60,0
Department of Education,South Dakota,150,0
Department of Education,Vermont,50,0
Department of Education,West Virginia,260,0
Department of Education,Wyoming,80,0
Department of Energy,Alabama,150,0
Department of Energy,Alaska,110,0
Department of Energy,Connecticut,180,0
Department of Energy,Delaware,90,0
Department of Energy,Hawaii,90,0
Department of Energy,Indiana,220,0
Department of Energy,Iowa,230,0
Department of Energy,Kansas,160,0
Department of Energy,Maine,150,0
Department of Energy,Michigan,280,0
Department of Energy,Minnesota,190,0
Department of Energy,Mississippi,60,0
Department of Energy,Nebraska,240,0
Department of Energy,New Hampshire,90,0
Department of Energy,New Jersey,410,0
Department of Energy,North Carolina,510,0
Department of Energy,Rhode Island,60,0
Department of Energy,Utah,310,0
Department of Energy,Vermont,50,0
Department of Energy,Wisconsin,170,0
Department of Health and Human Services,Connecticut,60,0
Department of Health and Human Services,Delaware,980,0
Department of Health and Human Services,Idaho,890,0
Department of Health and Human Services,Iowa,1040,0
Department of Health and Human Services,Maine,960,0
Department of Health and Human Services,Mississippi,790,0
Department of Health and Human Services,Nebraska,920,0
Department of Health and Human Services,Vermont,530,0
Department of Health and Human Services,Wyoming,880,0
Department of Homeland Security,Connecticut,90,0
Department of Homeland Security,North Dakota,310,0
Department of Homeland Security,Wyoming,300,0
Department of Housing and Urban Development,Connecticut,470,0
Department of Housing and Urban Development,Delaware,250,0
Department of Housing and Urban Development,Hawaii,310,0
Department of Housing and Urban Development,Maine,110,0
Department of Housing and Urban Development,Nevada,330,0
Department of Housing and Urban Development,New Hampshire,250,0
Department of Housing and Urban Development,Rhode Island,190,0
Department of Housing and Urban Development,South Dakota,230,0
Department of Housing and Urban Development,Vermont,80,0
Department of Housing and Urban Development,West Virginia,330,0
Department of Housing and Urban Development,Wyoming,100,0
Department of Justice,Alaska,110,0
Department of Justice,Hawaii,1020,0
Department of Justice,Idaho,160,0
Department of Justice,Iowa,220,0
Department of Justice,Maine,160,0
Department of Justice,Montana,90,0
Department of Justice,Nebraska,250,0
Department of Justice,Nevada,460,0
Department of Justice,New Mexico,380,0
Department of Justice,North Dakota,60,0
Department of Justice,Rhode Island,140,0
Department of Justice,Utah,320,0
Department of Justice,Vermont,90,0
Department of Justice,Wyoming,80,0
Department of Labor,Delaware,340,0
Department of Labor,Hawaii,380,0
Department of Labor,Iowa,350,0
Department of Labor,Maine,270,0
Department of Labor,Montana,420,0
Department of Labor,Nebraska,360,0
Department of Labor,North Dakota,140,0
Department of Labor,South Dakota,290,0
Department of Labor,Vermont,90,0
Department of State,Alabama,40,0
Department of State,Alaska,20,0
Department of State,Arkansas,230,0
Department of State,Delaware,50,0
Department of State,Idaho,20,0
Department of State,Indiana,80,0
Department of State,Kansas,30,0
Department of State,Kentucky,80,0
Department of State,Maine,130,0
Department of State,Maryland,270,0
Department of State,Mississippi,10,0
Department of State,Missouri,70,0
Department of State,Montana,10,0
Department of State,Nebraska,20,0
Department of State,Nevada,80,0
Department of State,New Jersey,210,0
Department of State,New Mexico,50,0
Department of State,North Carolina,340,0
Department of State,North Dakota,10,0
Department of State,Ohio,110,0
Department of State,Oklahoma,30,0
Department of State,Oregon,70,0
Department of State,Rhode Island,20,0
Department of State,South Dakota,20,0
Department of State,Tennessee,70,0
